id,hhb,hbo2,ca,na
10000,7.711663,3.7591252,8.555153,2.7671108
10001,7.711663,3.7591252,8.555153,2.7671108
10002,7.711663,3.7591252,8.555153,2.7671108
10003,7.711663,3.7591252,8.555153,2.7671108
10004,7.725505,3.7632923,8.5758095,2.7743385
10005,7.703051,3.7550685,8.547784,2.7668924
10006,7.7239194,3.7631652,8.577778,2.774964
10007,7.7288675,3.7649102,8.579539,2.776343
10008,7.717633,3.7610707,8.56738,2.774127
10009,7.722746,3.7619877,8.5725975,2.7735126
10010,7.7186246,3.7620196,8.569455,2.7719674
10011,7.7034245,3.7551386,8.554115,2.768615
10012,7.722747,3.7634554,8.576894,2.7746894
10013,7.7180963,3.7612848,8.567736,2.77414
10014,7.713294,3.759583,8.565366,2.7713878
10015,7.72312,3.7634497,8.569999,2.7751057
10016,7.708674,3.7572505,8.556598,2.770426
10017,7.703482,3.7549877,8.554238,2.768772
10018,7.7138677,3.7593524,8.56113,2.7710657
10019,7.725924,3.7644362,8.5774145,2.7769716
10020,7.714805,3.7594476,8.562832,2.7711341
10021,7.7040296,3.7554617,8.552794,2.768335
10022,7.7120304,3.758272,8.562244,2.7717288
10023,7.7220173,3.7626607,8.57053,2.774699
10024,7.7236004,3.7633536,8.572318,2.7750127
10025,7.712556,3.7587464,8.5606785,2.7712667
10026,7.7061095,3.7563584,8.556101,2.769211
10027,7.7259045,3.763474,8.576598,2.7748253
10028,7.7268686,3.7647889,8.574449,2.7756588
10029,7.708046,3.7571008,8.55773,2.7700331
10030,7.7295856,3.765458,8.580592,2.7768633
10031,7.720158,3.761982,8.571019,2.7749114
10032,7.7169833,3.7608135,8.564622,2.7737205
10033,7.720471,3.7625675,8.574346,2.773962
10034,7.712529,3.7595725,8.561495,2.771427
10035,7.716534,3.7605243,8.567211,2.7728946
10036,7.7183514,3.7618523,8.570246,2.7723377
10037,7.725888,3.7639658,8.57867,2.775748
10038,7.721546,3.7624857,8.572333,2.774757
10039,7.725067,3.7635627,8.5751095,2.7758152
10040,7.720245,3.7620234,8.570551,2.7756345
10041,7.713029,3.7588987,8.562014,2.771951
10042,7.721425,3.761985,8.575589,2.7739449
10043,7.7036815,3.7553167,8.553864,2.7686193
10044,7.722916,3.762679,8.571928,2.7745888
10045,7.7188897,3.7616434,8.567673,2.7714014
10046,7.723968,3.762638,8.574437,2.7747133
10047,7.7102604,3.7579362,8.560015,2.770984
10048,7.72252,3.7623634,8.570435,2.7753956
10049,7.7176332,3.7606506,8.563216,2.771711
10050,7.72253,3.7628639,8.573573,2.7757432
10051,7.7195187,3.7618275,8.568257,2.7743132
10052,7.7192698,3.7614393,8.5682,2.77378
10053,7.7182674,3.7609918,8.563914,2.7719972
10054,7.723916,3.7627378,8.573216,2.774744
10055,7.7117634,3.7590091,8.5593815,2.77107
10056,7.7280765,3.7644358,8.577961,2.775583
10057,7.711396,3.7580242,8.560471,2.771314
10058,7.7283955,3.765005,8.581409,2.7763286
10059,7.7127876,3.7592542,8.562599,2.7717736
10060,7.725676,3.7638402,8.576211,2.77682
10061,7.7128215,3.7591074,8.562194,2.772443
10062,7.7261147,3.7641435,8.576397,2.7764409
10063,7.7288895,3.7657948,8.576846,2.776943
10064,7.7222376,3.7628593,8.570289,2.774755
10065,7.720261,3.7614825,8.570618,2.775388
10066,7.720534,3.7617843,8.568128,2.7724466
10067,7.719543,3.761816,8.56827,2.77526
10068,7.722126,3.7617655,8.5720215,2.77301
10069,7.7216244,3.7628298,8.57112,2.7737725
10070,7.719749,3.7615252,8.5718565,2.7741354
10071,7.723444,3.7631512,8.572451,2.7750165
10072,7.717993,3.7612119,8.566793,2.7712004
10073,7.715936,3.7599344,8.563767,2.7711666
10074,7.725772,3.7636683,8.57653,2.7760837
10075,7.718155,3.7622972,8.568522,2.7730873
10076,7.7148123,3.760388,8.564736,2.7727802
10077,7.7114015,3.7585695,8.559662,2.7721748
10078,7.725436,3.763844,8.57888,2.775276
10079,7.7108073,3.757518,8.560564,2.7713025
10080,7.7230787,3.7626033,8.572219,2.7745717
10081,7.7270226,3.7644122,8.579525,2.7759717
10082,7.719448,3.761196,8.568614,2.7733943
10083,7.7184014,3.7610772,8.56631,2.7729905
10084,7.723509,3.7631288,8.576053,2.775194
10085,7.7128735,3.758832,8.564023,2.7720926
10086,7.7257595,3.764308,8.577329,2.7769003
10087,7.721156,3.7626262,8.571741,2.7740946
10088,7.718054,3.7605116,8.5663595,2.7720437
10089,7.7147117,3.759535,8.561875,2.7715719
10090,7.711111,3.7591307,8.561763,2.770601
10091,7.7067227,3.75605,8.556602,2.7697506
10092,7.7186236,3.7621455,8.568831,2.7745159
10093,7.7220254,3.7635775,8.57289,2.7757025
