id,X,Y,M,V
2800,-204.0,-69.0,70.0,0.51
2801,328.0,-326.0,74.5,0.42000000000000015
2802,-92.0,186.0,73.25,0.33799999999999986
2803,227.0,193.0,65.75,0.376
2804,-50.0,209.0,90.5,0.452
2805,203.0,-75.0,85.25,0.4259999999999999
2806,-208.0,192.0,93.75,0.44600000000000006
2807,-178.0,-304.0,79.5,0.424
2808,-73.0,177.0,83.5,0.46600000000000025
2809,166.0,324.0,78.75,0.45600000000000007
2810,-206.0,270.0,91.0,0.5000000000000004
2811,-247.0,218.0,64.0,0.3039999999999996
2812,267.0,247.0,95.25,0.4660000000000001
2813,15.0,-33.0,62.25,0.3339999999999998
2814,-245.0,-51.0,88.5,0.46400000000000036
2815,-21.0,-313.0,87.5,0.504
2816,21.0,-170.0,82.25,0.4439999999999998
2817,-47.0,-116.0,73.5,0.436
2818,86.0,242.0,87.0,0.4059999999999998
2819,53.0,-281.0,82.0,0.4019999999999999
2820,180.0,-357.0,80.75,0.47800000000000026
2821,-329.0,-19.0,61.5,0.37200000000000016
2822,20.0,258.0,75.0,0.3659999999999998
2823,332.0,-86.0,88.0,0.47199999999999986
2824,143.0,-322.0,85.0,0.40600000000000025
2825,196.0,-367.0,71.5,0.45000000000000023
2826,154.0,186.0,66.75,0.47400000000000025
2827,194.0,175.0,92.0,0.496
2828,205.0,193.0,86.5,0.5080000000000001
2829,-42.0,99.0,66.75,0.4679999999999999
2830,225.0,-54.0,76.0,0.468
2831,-157.0,188.0,90.0,0.508
2832,322.0,-271.0,82.0,0.3819999999999996
2833,-336.0,-268.0,85.5,0.412
2834,191.0,-294.0,122.75,0.614
2835,-31.0,151.0,91.5,0.49000000000000016
2836,-329.0,252.0,99.25,0.3359999999999996
2837,107.0,90.0,63.25,0.4060000000000001
2838,-196.0,-297.0,63.25,0.3499999999999998
2839,-128.0,284.0,70.25,0.5399999999999998
2840,349.0,242.0,92.0,0.4679999999999999
2841,0.0,-307.0,55.75,0.5539999999999999
2842,-104.0,304.0,122.25,0.7459999999999997
2843,-114.0,-354.0,61.75,0.3519999999999998
2844,-136.0,227.0,80.75,0.3659999999999999
2845,132.0,-125.0,53.0,0.3800000000000001
2846,187.0,-293.0,62.0,0.31799999999999967
2847,78.0,-210.0,99.25,0.4680000000000002
2848,-1.0,168.0,94.75,0.4320000000000001
2849,322.0,5.0,90.5,0.35399999999999965
2850,-333.0,-22.0,68.0,0.3960000000000001
2851,345.0,-77.0,80.75,0.5379999999999998
2852,-349.0,-285.0,56.0,0.36399999999999977
2853,279.0,-333.0,74.5,0.4359999999999997
2854,-363.0,1.0,81.0,0.49400000000000027
2855,-140.0,262.0,101.75,0.48400000000000004
2856,-8.0,-335.0,75.25,0.4500000000000003
2857,88.0,-55.0,91.5,0.39799999999999996
2858,23.0,194.0,98.25,0.484
2859,-83.0,-86.0,86.0,0.466
2860,-367.0,253.0,55.5,0.4059999999999999
2861,353.0,27.0,98.25,0.4799999999999999
2862,-67.0,204.0,98.5,0.41200000000000014
2863,-334.0,294.0,111.5,0.4920000000000003
2864,-338.0,-20.0,61.25,0.4040000000000002
2865,174.0,-327.0,79.5,0.4720000000000003
2866,118.0,-108.0,81.75,0.5580000000000002
2867,28.0,272.0,81.75,0.42
2868,117.0,-82.0,81.5,0.4980000000000003
2869,-94.0,248.0,75.5,0.4640000000000001
2870,-69.0,-119.0,98.5,0.506
2871,236.0,250.0,64.25,0.3779999999999998
2872,-149.0,-83.0,80.75,0.396
2873,150.0,-349.0,84.25,0.4640000000000001
2874,112.0,-107.0,92.25,0.4379999999999999
2875,-117.0,-288.0,102.0,0.47199999999999986
2876,230.0,-322.0,69.0,0.3899999999999999
2877,190.0,193.0,69.25,0.45400000000000035
2878,-149.0,-278.0,70.25,0.36599999999999994
2879,317.0,303.0,65.5,0.2879999999999996
2880,253.0,-309.0,86.25,0.4139999999999999
2881,-305.0,-1.0,108.75,0.49600000000000016
2882,-262.0,226.0,100.0,0.5319999999999999
2883,-201.0,-37.0,101.75,0.5740000000000002
2884,338.0,236.0,83.25,0.44399999999999984
2885,117.0,-84.0,97.25,0.5400000000000001
2886,215.0,-292.0,93.5,0.4700000000000006
2887,-72.0,176.0,81.5,0.494
2888,-120.0,189.0,80.0,0.41600000000000004
2889,154.0,-31.0,78.25,0.3859999999999998
2890,333.0,-12.0,102.0,0.5019999999999998
2891,140.0,180.0,60.75,0.44599999999999973
2892,8.0,-117.0,82.0,0.4000000000000002
2893,-334.0,-267.0,94.75,0.27999999999999964
2894,-170.0,-299.0,115.75,0.4159999999999999
2895,-162.0,-296.0,88.0,0.368
2896,-90.0,-54.0,98.0,0.4540000000000002
2897,168.0,-364.0,55.25,0.4020000000000001
2898,108.0,-297.0,115.0,0.5320000000000001
2899,-86.0,212.0,73.5,0.45000000000000007
2900,247.0,-161.0,102.5,0.4920000000000004
2901,229.0,181.0,84.0,0.38999999999999985
2902,-244.0,-280.0,92.25,0.4139999999999999
2903,-291.0,238.0,97.75,0.45400000000000035
2904,-318.0,332.0,90.0,0.44999999999999996
2905,333.0,-38.0,58.5,0.3859999999999998
2906,-122.0,-84.0,89.25,0.45600000000000007
2907,-106.0,-96.0,92.5,0.522
2908,-12.0,194.0,72.25,0.408
2909,22.0,175.0,67.5,0.48
2910,-48.0,170.0,92.25,0.49599999999999994
2911,-20.0,-308.0,84.0,0.3679999999999998
2912,-316.0,380.0,99.5,0.41
2913,-178.0,250.0,79.5,0.46400000000000025
2914,-149.0,265.0,66.0,0.3459999999999998
2915,-246.0,-301.0,58.5,0.34399999999999975
2916,-118.0,-187.0,103.75,0.46199999999999997
2917,-140.0,-151.0,53.5,0.3699999999999998
2918,107.0,-309.0,105.25,0.49800000000000005
2919,12.0,234.0,66.0,0.3439999999999997
2920,201.0,-296.0,50.75,0.3279999999999997
2921,124.0,-75.0,69.0,0.37199999999999983
2922,-42.0,-115.0,107.0,0.36999999999999994
2923,-9.0,-31.0,61.25,0.40399999999999986
2924,203.0,-347.0,57.75,0.38199999999999995
2925,-148.0,257.0,66.75,0.4259999999999999
2926,-147.0,312.0,83.25,0.468
2927,-132.0,228.0,83.25,0.43999999999999984
2928,-346.0,-194.0,71.5,0.37200000000000005
2929,28.0,134.0,62.5,0.4860000000000004
2930,-124.0,-76.0,82.25,0.5919999999999997
2931,-103.0,206.0,64.25,0.5359999999999998
2932,254.0,252.0,99.5,0.5139999999999998
2933,-8.0,182.0,103.75,0.37799999999999984
2934,226.0,-276.0,70.25,0.3339999999999996
2935,-316.0,-310.0,81.0,0.49199999999999994
2936,-7.0,-309.0,78.75,0.3579999999999998
2937,85.0,-24.0,74.0,0.45799999999999996
2938,10.0,-173.0,82.5,0.48200000000000004
2939,10.0,-293.0,130.0,0.6059999999999999
2940,-235.0,147.0,88.0,0.3679999999999999
2941,-193.0,-53.0,59.0,0.4099999999999999
2942,-334.0,292.0,109.0,0.46600000000000014
2943,-297.0,-242.0,108.5,0.5059999999999999
2944,168.0,272.0,94.5,0.5099999999999999
2945,-149.0,322.0,71.5,0.6299999999999999
2946,5.0,-322.0,86.75,0.382
2947,28.0,-284.0,82.5,0.4520000000000001
2948,192.0,269.0,64.75,0.3419999999999996
2949,131.0,289.0,69.25,0.5820000000000002
2950,135.0,194.0,72.25,0.4820000000000001
2951,124.0,148.0,76.0,0.5020000000000002
2952,-8.0,-263.0,103.25,0.4340000000000001
2953,-142.0,217.0,88.0,0.4920000000000001
2954,17.0,-316.0,78.75,0.4159999999999997
2955,92.0,232.0,86.25,0.4660000000000001
2956,-58.0,-309.0,60.75,0.386
2957,-178.0,-388.0,73.75,0.3819999999999999
2958,-129.0,194.0,97.5,0.4520000000000003
2959,-152.0,-104.0,83.25,0.46
2960,-67.0,-93.0,84.0,0.4859999999999998
2961,-341.0,21.0,83.0,0.4800000000000001
2962,-181.0,-193.0,63.25,0.558
2963,22.0,-331.0,77.75,0.48400000000000004
2964,-61.0,-92.0,65.25,0.386
2965,23.0,276.0,97.5,0.5420000000000001
2966,-168.0,-273.0,93.5,0.4680000000000002
2967,271.0,210.0,78.0,0.3959999999999998
2968,107.0,70.0,61.75,0.4219999999999998
2969,5.0,133.0,74.25,0.414
2970,-5.0,-203.0,113.0,0.6379999999999996
2971,152.0,-80.0,52.25,0.3499999999999999
2972,139.0,-96.0,90.25,0.5540000000000002
2973,118.0,-77.0,88.5,0.426
2974,282.0,259.0,86.75,0.502
2975,327.0,-118.0,75.75,0.41399999999999987
2976,75.0,-304.0,56.5,0.3239999999999996
2977,-285.0,-260.0,66.5,0.384
2978,89.0,-129.0,63.5,0.396
2979,3.0,174.0,100.25,0.5560000000000005
2980,355.0,-228.0,105.0,0.4179999999999999
2981,264.0,185.0,86.25,0.6080000000000001
2982,-319.0,337.0,78.75,0.3499999999999996
2983,-122.0,-303.0,98.0,0.3980000000000002
2984,26.0,233.0,75.5,0.44199999999999995
2985,35.0,-292.0,54.25,0.3199999999999997
2986,68.0,168.0,86.25,0.43800000000000017
2987,-151.0,-82.0,62.5,0.4179999999999999
2988,143.0,-59.0,92.5,0.4380000000000003
2989,134.0,-160.0,53.0,0.4040000000000001
2990,349.0,293.0,106.75,0.48000000000000015
2991,-179.0,-290.0,60.0,0.35999999999999993
2992,-93.0,180.0,51.75,0.38800000000000007
2993,85.0,-141.0,72.5,0.3519999999999998
2994,-356.0,349.0,84.5,0.4960000000000001
2995,-246.0,-320.0,74.5,0.442
2996,-183.0,-345.0,69.5,0.4400000000000003
2997,132.0,-78.0,80.25,0.488
2998,-350.0,15.0,66.5,0.5000000000000001
2999,-157.0,-83.0,88.0,0.5080000000000002
3000,-284.0,195.0,76.5,0.4200000000000001
3001,6.0,-101.0,72.0,0.4699999999999999
3002,199.0,-362.0,89.0,0.47199999999999986
3003,-13.0,-193.0,75.75,0.4400000000000003
3004,15.0,-353.0,70.75,0.4780000000000003
3005,342.0,295.0,67.75,0.35599999999999987
3006,318.0,-295.0,84.0,0.42800000000000016
3007,-133.0,188.0,74.25,0.4179999999999999
3008,13.0,281.0,95.5,0.48600000000000015
3009,-214.0,278.0,89.25,0.41400000000000015
3010,-229.0,260.0,58.0,0.3139999999999996
3011,133.0,-96.0,87.0,0.6460000000000001
3012,-178.0,283.0,68.75,0.44800000000000006
3013,195.0,-299.0,72.25,0.37199999999999983
3014,-400.0,-199.0,63.25,0.7579999999999998
3015,-134.0,140.0,85.0,0.5979999999999996
3016,-307.0,290.0,77.5,0.4700000000000001
3017,125.0,-103.0,86.0,0.5180000000000002
3018,-16.0,273.0,75.5,0.494
3019,139.0,-91.0,75.25,0.42800000000000016
3020,-357.0,266.0,104.75,0.5160000000000005
3021,-307.0,175.0,79.75,0.33399999999999963
3022,-131.0,244.0,81.0,0.4359999999999997
3023,111.0,-69.0,77.5,0.536
3024,-24.0,-288.0,78.0,0.44
3025,356.0,348.0,88.0,0.4699999999999999
3026,-181.0,303.0,105.5,0.37999999999999967
3027,-55.0,80.0,76.0,0.5199999999999999
3028,-293.0,115.0,114.0,0.3059999999999996
3029,186.0,-31.0,89.25,0.37800000000000006
3030,-220.0,265.0,84.25,0.3939999999999998
3031,400.0,100.0,74.75,0.49599999999999966
3032,-116.0,-305.0,114.5,0.4840000000000002
3033,253.0,242.0,100.5,0.512
3034,-158.0,-97.0,81.75,0.524
3035,314.0,-9.0,102.25,0.5219999999999998
3036,-31.0,144.0,76.5,0.538
3037,109.0,-95.0,94.0,0.5139999999999998
3038,-179.0,-111.0,85.0,0.544
3039,-108.0,91.0,57.5,0.4500000000000001
3040,-302.0,-57.0,73.25,0.5080000000000001
3041,22.0,-282.0,61.0,0.3759999999999999
3042,135.0,253.0,94.5,0.46400000000000025
3043,-2.0,115.0,63.5,0.42200000000000004
3044,-85.0,-36.0,54.5,0.6
3045,-367.0,269.0,85.5,0.5000000000000001
3046,135.0,198.0,92.5,0.458
3047,380.0,-86.0,74.0,0.45399999999999985
3048,116.0,275.0,72.25,0.5220000000000004
3049,123.0,-161.0,102.5,0.5520000000000003
3050,-21.0,-37.0,89.0,0.478
3051,-32.0,375.0,67.0,0.31599999999999967
3052,-256.0,-291.0,80.75,0.36199999999999993
3053,-123.0,-60.0,80.0,0.5420000000000001
3054,-251.0,173.0,99.75,0.43800000000000017
3055,62.0,161.0,86.75,0.4560000000000003
3056,-271.0,358.0,66.0,0.3319999999999997
3057,350.0,241.0,68.5,0.41199999999999976
3058,187.0,-168.0,94.25,0.462
3059,122.0,-80.0,53.25,0.3760000000000001
3060,-16.0,217.0,75.25,0.37199999999999966
3061,103.0,172.0,93.25,0.486
3062,-89.0,-95.0,85.0,0.5920000000000001
3063,63.0,316.0,85.25,0.3779999999999999
3064,134.0,-79.0,49.0,0.3699999999999997
3065,-175.0,269.0,85.75,0.5399999999999999
3066,20.0,-340.0,83.5,0.5160000000000003
3067,-33.0,154.0,71.75,0.51
3068,-131.0,233.0,82.5,0.4460000000000003
3069,-63.0,-95.0,57.5,0.3940000000000002
3070,-177.0,186.0,76.0,0.4100000000000002
3071,305.0,-309.0,89.5,0.45000000000000023
3072,206.0,-185.0,90.5,0.56
3073,266.0,209.0,90.0,0.4519999999999998
3074,92.0,-122.0,74.25,0.562
3075,172.0,-96.0,90.75,0.626
3076,-231.0,-324.0,66.75,0.38800000000000023
3077,-18.0,104.0,109.0,0.5120000000000001
3078,-303.0,-282.0,86.5,0.446
3079,125.0,216.0,68.5,0.4539999999999999
3080,22.0,281.0,64.75,0.3419999999999998
3081,102.0,200.0,77.25,0.3919999999999999
3082,-156.0,351.0,80.0,0.36600000000000016
3083,265.0,194.0,89.0,0.4700000000000001
3084,-20.0,173.0,73.0,0.4480000000000002
3085,-195.0,-170.0,88.75,0.5180000000000002
3086,-276.0,239.0,78.25,0.4359999999999999
3087,-22.0,-315.0,79.75,0.4400000000000003
3088,60.0,286.0,88.5,0.33599999999999974
3089,137.0,295.0,56.5,0.5220000000000001
3090,140.0,-358.0,83.75,0.45600000000000007
3091,157.0,-162.0,87.5,0.434
3092,-104.0,95.0,87.75,0.544
3093,67.0,-358.0,94.0,0.3739999999999998
3094,-366.0,251.0,110.0,0.534
3095,108.0,173.0,73.75,0.5220000000000001
3096,165.0,-175.0,71.25,0.4200000000000002
3097,-118.0,-89.0,98.75,0.588
3098,183.0,-372.0,89.75,0.4919999999999999
3099,-129.0,-131.0,80.25,0.4180000000000002
3100,60.0,66.0,83.75,0.57
3101,85.0,-9.0,73.0,0.4460000000000002
3102,-186.0,-133.0,83.0,0.5760000000000001
3103,129.0,-79.0,58.25,0.3559999999999996
3104,223.0,-13.0,90.25,0.528
3105,278.0,235.0,94.25,0.48800000000000027
3106,-152.0,294.0,77.25,0.39599999999999996
3107,68.0,-259.0,89.0,0.3219999999999996
3108,237.0,-168.0,73.25,0.436
3109,188.0,135.0,101.25,0.5620000000000002
3110,110.0,-301.0,83.75,0.37999999999999995
3111,37.0,-94.0,100.75,0.5420000000000003
3112,-189.0,-347.0,90.25,0.5120000000000001
3113,333.0,-265.0,85.75,0.5040000000000001
3114,-139.0,302.0,82.75,0.3279999999999997
3115,212.0,-81.0,95.0,0.42
3116,-95.0,218.0,121.5,0.48400000000000026
3117,193.0,266.0,78.0,0.414
3118,20.0,232.0,82.5,0.424
3119,-350.0,-10.0,66.5,0.44400000000000006
3120,-194.0,-85.0,79.75,0.49800000000000016
3121,119.0,120.0,63.0,0.43599999999999994
3122,33.0,-370.0,71.75,0.4780000000000006
3123,20.0,333.0,107.0,0.38
3124,-157.0,-120.0,62.0,0.4840000000000002
3125,103.0,-57.0,79.75,0.4100000000000001
3126,238.0,-343.0,60.5,0.36800000000000005
3127,-106.0,-117.0,83.25,0.49400000000000005
3128,-118.0,-223.0,108.0,0.4040000000000002
3129,286.0,-288.0,80.75,0.4260000000000001
3130,-281.0,225.0,95.5,0.45799999999999996
3131,264.0,203.0,53.5,0.3679999999999999
3132,27.0,306.0,92.0,0.6239999999999999
3133,-61.0,-108.0,77.0,0.35799999999999976
3134,228.0,210.0,75.75,0.45799999999999974
3135,-234.0,311.0,68.5,0.35399999999999976
3136,-173.0,233.0,92.0,0.5060000000000001
3137,218.0,-99.0,94.0,0.49800000000000016
3138,-211.0,239.0,89.0,0.4740000000000004
3139,30.0,-49.0,86.25,0.5860000000000002
3140,-103.0,285.0,71.75,0.41000000000000014
3141,23.0,285.0,83.5,0.44800000000000023
3142,-215.0,-338.0,66.75,0.3900000000000001
3143,-44.0,160.0,101.5,0.44000000000000017
3144,-86.0,-369.0,88.25,0.524
3145,206.0,168.0,103.0,0.39199999999999996
3146,-253.0,274.0,78.5,0.4039999999999999
3147,40.0,244.0,59.0,0.38599999999999973
3148,-184.0,272.0,52.75,0.33599999999999974
3149,350.0,234.0,80.25,0.3639999999999998
3150,-373.0,-189.0,58.0,0.33399999999999963
3151,-78.0,290.0,50.0,0.4779999999999999
3152,134.0,370.0,80.5,0.446
3153,-321.0,-176.0,66.25,0.4840000000000002
3154,41.0,-121.0,63.5,0.43399999999999983
3155,-198.0,-329.0,84.5,0.3379999999999997
3156,261.0,230.0,53.5,0.37399999999999983
3157,326.0,23.0,86.5,0.45
3158,-37.0,-294.0,80.0,0.41800000000000037
3159,-190.0,-281.0,110.0,0.4600000000000001
3160,-98.0,206.0,84.5,0.5119999999999999
3161,168.0,-338.0,74.0,0.40200000000000025
3162,297.0,-163.0,94.75,0.5260000000000001
3163,186.0,251.0,49.75,0.3839999999999998
3164,362.0,0.0,51.0,0.36199999999999993
3165,-298.0,198.0,89.75,0.386
3166,-337.0,349.0,66.75,0.3759999999999998
3167,268.0,-146.0,63.25,0.33999999999999964
3168,-141.0,117.0,70.75,0.5899999999999996
3169,348.0,-245.0,61.75,0.34599999999999975
3170,248.0,-241.0,70.25,0.34199999999999986
3171,-300.0,-400.0,78.0,0.29199999999999965
3172,209.0,-62.0,85.25,0.3959999999999998
3173,-223.0,-350.0,110.5,0.4260000000000001
3174,-40.0,-293.0,65.0,0.4540000000000003
3175,318.0,294.0,104.75,0.44000000000000017
3176,-235.0,-149.0,87.25,0.49
3177,188.0,-272.0,88.5,0.4599999999999999
3178,15.0,287.0,74.5,0.4459999999999997
3179,227.0,183.0,78.75,0.488
3180,-261.0,216.0,69.5,0.4160000000000002
3181,-349.0,268.0,91.0,0.46199999999999997
3182,-81.0,-109.0,85.75,0.5060000000000001
3183,-136.0,-142.0,58.25,0.43000000000000016
3184,-162.0,-288.0,92.0,0.40199999999999997
3185,-304.0,249.0,88.75,0.4759999999999998
3186,9.0,-86.0,82.25,0.5220000000000001
3187,-27.0,115.0,125.25,0.5280000000000002
3188,-148.0,-290.0,61.0,0.36199999999999993
3189,76.0,213.0,57.75,0.47999999999999987
3190,181.0,157.0,65.5,0.44599999999999995
3191,-17.0,-101.0,78.5,0.38799999999999973
3192,133.0,158.0,70.0,0.5360000000000003
3193,-94.0,257.0,91.25,0.46800000000000014
